Name,Author,Avg Rating,Rating Count,Score,Vote Count
The Neverending Story,Michael Ende,4.18,208268,235.0,3
The Amityville Horror,Jay Anson,3.83,133916,233.0,3
A Single Man,Christopher Isherwood,4.06,34955,233.0,3
Flowers in the Attic (Dollanganger\, #1),V.C. Andrews,3.85,222985,231.0,3
From the Terrace,John O'Hara,3.92,438,229.0,3
Le relazioni pericolose,Pierre Choderlos de Laclos,4.06,55135,228.0,3
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,580004,226.0,3
The Brothers Karamazov,Fyodor Dostoevsky,4.38,346565,224.0,4
Hearts in Atlantis,Stephen        King,0.0,0,222.0,3
Mutiny on the Bounty,Charles Bernard Nordhoff,4.01,15150,220.0,3
I Am Number Four (Lorien Legacies\, #1),Pittacus Lore,3.93,345852,220.0,3
Anne of Avonlea (Anne of Green Gables\, #2),L.M. Montgomery,4.23,208609,220.0,3
اوليفر تويست,Charles Dickens,3.88,404518,219.0,3
Mockingjay (The Hunger Games\, #3),Suzanne Collins,4.1,3367961,217.0,3
The Color of Magic (Discworld\, #1; Rincewind\, #1),Terry Pratchett,4.0,399447,216.0,3
The Man in the Iron Mask,Alexandre Dumas,3.99,78086,213.0,3
Hannibal Rising (Hannibal Lecter\, #4),Thomas  Harris,3.56,50068,212.0,3
Breaking Dawn (The Twilight Saga\, #4),Stephenie Meyer,3.74,1765241,211.0,3
Tintenherz (Tintenwelt\, #1),Cornelia Funke,0.0,0,210.0,3
Corelli’s Mandolin,Louis de Bernières,4.02,88518,209.0,4
Hogfather (Discworld\, #20; Death\, #4),Terry Pratchett,4.26,96963,209.0,3
The Moonstone,Wilkie Collins,3.91,95235,207.0,4
The Corrections,Jonathan Franzen,3.84,188304,206.0,3
Casino Royale (James Bond\, #1),Ian Fleming,3.74,88555,201.0,3
The Demonologist: The Extraordinary Career of Ed & Lorraine Warren,Gerald Brittle,3.89,8783,199.0,2
The Boys from Brazil,Ira Levin,4.06,39373,198.0,4
Being There,Jerzy Kosiński,3.86,14185,197.0,2
Empire Falls,Richard Russo,0.0,0,196.0,2
The Young Lions,Irwin Shaw,4.23,4347,196.0,3
Looking for Mr. Goodbar,Judith Rossner,3.67,6539,196.0,4
The Bridge Over the River Kwai,Pierre Boulle,3.95,10018,195.0,4
A River Runs Through It,Norman Maclean,4.15,10818,194.0,3
Going Postal (Discworld\, #33; Moist von Lipwig\, #1),Terry Pratchett,4.41,128435,192.0,2
Prince Caspian (Chronicles of Narnia\, #2),C.S. Lewis,3.98,454247,191.0,3
A Kestrel for a Knave,Barry Hines,4.06,7259,187.0,3
The Puppet Masters,Robert A. Heinlein,3.89,33419,185.0,3
Saturday Night and Sunday Morning,Alan Sillitoe,3.81,5102,183.0,3
Mommie Dearest,Christina Crawford,0.0,0,178.0,3
The Natural,Bernard Malamud,3.62,11912,178.0,2
The Ice Storm,Rick Moody,3.65,5998,175.0,3
Crossing Delancey,Susan Sandler,3.86,65,175.0,3
Scarlett,Alexandra Ripley,3.65,66147,172.0,2
The Mission,Robert Bolt,3.76,126,170.0,2
Jean de Florette & Manon of the Springs,Marcel Pagnol,4.35,1367,170.0,2
The Chocolate War (Chocolate War\, #1),Robert Cormier,3.49,45824,169.0,2
Mrs. Frisby and the Rats of NIMH (Rats of NIMH\, #1),Robert C. O'Brien,4.17,181314,169.0,2
The Postman,David Brin,0.0,0,168.0,2
Death in Venice,Thomas Mann,3.74,77102,164.0,2
They Shoot Horses\, Don't They?,Horace McCoy,3.86,10605,164.0,4
Election,Tom Perrotta,3.81,12338,164.0,2
The Secret Life of Bees,Sue Monk Kidd,0.0,0,164.0,2
Hawaii,James A. Michener,4.21,79752,163.0,3
Sherlock: The Hound of the Baskervilles,Arthur Conan Doyle,4.13,360181,161.0,2
The Adventures of Tom Sawyer,Mark Twain,3.92,962882,160.0,2
The Jungle Book (Jungle Book\, #1),Rudyard Kipling,3.9,126979,160.0,2
The Five People You Meet in Heaven: A Fable,Mitch Albom,0.0,0,158.0,2
I Heard the Owl Call My Name,Margaret Craven,4.04,8408,158.0,2
I\, Robot (Robot\, #0.1),Isaac Asimov,4.21,357298,155.0,2
Brooklyn,Colm Tóibín,3.73,134385,153.0,2
A Painted House,John Grisham,0.0,0,150.0,2
Eugene Onegin,Alexander Pushkin,4.1,66717,149.0,2
The Howling,Gary Brandner,3.95,14184,148.0,2
Black Like Me,John Howard Griffin,4.11,68550,146.0,3
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.92,38265,145.0,2
A Streetcar Named Desire,Tennessee Williams,3.98,322708,145.0,2
The Dressmaker (Dressmaker\, #1),Rosalie Ham,3.43,18839,140.0,2
Fever Pitch,Nick Hornby,3.77,41961,139.0,2
The Light Between Oceans,M.L. Stedman,0.0,0,138.0,2
Heartburn,Nora Ephron,3.62,72674,137.0,3
Deliverance,James Dickey,3.89,33051,134.0,2
Shock to the System (Donald Strachey\, #5),Richard Stevenson,4.05,322,133.0,2
Tarzan of the Apes (Tarzan\, #1),Edgar Rice Burroughs,3.9,46054,133.0,2
Casino,Nicholas Pileggi,4.05,6913,129.0,2
The Birds and Other Stories,Daphne du Maurier,4.05,13163,128.0,3
Dune (Dune\, #1),Frank Herbert,4.28,1469973,128.0,2
The Nanny Diaries (Nanny\, #1),Emma McLaughlin,0.0,0,125.0,2
Make Room! Make Room!,Harry Harrison,3.71,9058,123.0,2
Shining Through,Susan Isaacs,0.0,0,122.0,2
The Executioner's Song,Norman Mailer,4.05,22221,121.0,2
Compromising Positions (Judith Singer\, #1),Susan Isaacs,0.0,0,120.0,2
The Pianist: The Extraordinary Story of One Man's Survival in Warsaw\, 1939–45,Władysław Szpilman,4.25,78451,118.0,2
Wir Kinder vom Bahnhof Zoo,Christiane V. Felscherinow,4.35,67403,116.0,2
Kramer kontra Kramer,Avery Corman,3.86,2677,106.0,2
A Tree Grows in Brooklyn,Betty  Smith,4.3,481126,105.0,2
Who Censored Roger Rabbit? (Roger Rabbit\, #1),Gary K. Wolf,3.71,3744,100.0,0
Into the Wild,Jon Krakauer,0.0,0,100.0,0
After Hours (Basis for the film Carlito's Way starring Al Pacino),Edwin Torres,4.06,176,100.0,0
Prinsesse af Blodet,Bodil Steensen-Leth,3.31,36,100.0,0
Perfume: The Story of a Murderer,Patrick Süskind,4.04,497630,100.0,0
The Once and Future King,T.H. White,4.07,114442,100.0,2
The Squaw Man,Julie Opp Faversham,3.0,6,100.0,0
Jamaica Inn,Daphne du Maurier,3.89,53493,100.0,0
The Lost World (Professor Challenger\, #1),Arthur Conan Doyle,3.93,69140,100.0,0
The Man in the Brown Suit (Colonel Race #1),Agatha Christie,3.95,116124,100.0,0
Shadow and Bone (Shadow and Bone\, #1),Leigh Bardugo,0.0,0,100.0,0
The Lucky One,Nicholas Sparks,0.0,0,100.0,0
Jessica Darling's It List: The (Totally Not) Guaranteed Guide to Popularity\, Prettiness & Perfection,Megan McCafferty,0.0,0,100.0,0
Dune (Dune\, #1),Frank Herbert,4.28,1469973,100.0,0
I'm Not Scared,Niccolò Ammaniti,3.89,31345,99.0,0
Eddie and the Cruisers,P.F. Kluge,3.92,411,99.0,0
And Then There Were None,Agatha Christie,4.28,1444299,99.0,0
Holes (Holes\, #1),Louis Sachar,0.0,0,99.0,0
Geek Girl (Geek Girl\, #1),Holly Smale,0.0,0,99.0,0
The Light in the Piazza,Elizabeth Spencer,3.51,534,98.0,0
Rumpole for the Defence,John Mortimer,4.11,699,98.0,2
Little Big Man,Thomas Berger,4.27,8432,98.0,0
The Adjustment Bureau and Other Classic Stories,Philip K. Dick,3.7,53,98.0,0
The Phantom of the Opera,Gaston Leroux,3.96,254864,98.0,0
Dear John,Nicholas Sparks,0.0,0,97.0,0
The Loneliness of the Long-Distance Runner,Alan Sillitoe,3.78,6834,97.0,2
The Sweet Hereafter,Russell Banks,3.87,9852,96.0,0
An American Tragedy,Theodore Dreiser,3.96,37565,96.0,2
The Wars of the Roses (Men at Arms Series\, 145) (Men-at-Arms\, 145),Terence Wise,3.84,44,96.0,2
Revolutionary Road,Richard Yates,3.93,90180,96.0,0
The Capture (Guardians of Ga'Hoole\, #1),Kathryn Lasky,3.93,29190,95.0,0
The Adventures of Robin Hood,Roger Lancelyn Green,4.07,13981,95.0,0
Tous les matins du monde,Pascal Quignard,3.44,2609,94.0,0
Tomorrow\, When the War Began (Tomorrow\, #1),John Marsden,4.04,57852,94.0,0
Rita Hayworth and Shawshank Redemption,Stephen        King,0.0,0,94.0,0
Violent Saturday,W. L. Heath,3.98,54,93.0,0
Tell Me That You Love Me\, Junie Moon,Marjorie Kellogg,3.79,506,92.0,0
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,0.0,0,92.0,0
The King's Damosel,Vera Chapman,3.46,284,92.0,0
Henry V,William Shakespeare,3.85,51046,92.0,0
Eclipse,Stephenie Meyer,3.73,1875262,92.0,0
The Secret of Santa Vittoria,Robert Crichton,4.17,1258,91.0,0
Around the World in Eighty Days,Jules Verne,3.94,259786,91.0,2
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,773006,91.0,2
Outlander (Outlander\, #1),Diana Gabaldon,0.0,0,91.0,0
The Night of the Hunter,Davis Grubb,4.19,2545,90.0,2
Devil in a Blue Dress (Easy Rawlins\, #1),Walter Mosley,3.87,28156,90.0,0
Jean de Florette,Marcel Pagnol,4.18,2411,90.0,0
Three-Ten to Yuma and Other Stories,Elmore Leonard,3.95,2722,89.0,0
Third Man Out (Donald Strachey\, #4),Richard Stevenson,4.1,401,89.0,0
Manon des sources,Marcel Pagnol,4.23,2310,88.0,0
